InvoiceNo,StockCode,Description,Quantity,UnitPrice,TotalRevenue,CustomerID,Country,IsCancellation,FormattedDate,Hour,DayOfWeek,is_anomaly,anomaly_score,anomaly_type
536460,22927,GREEN GIANT GARDEN THERMOMETER,2,5.95,11.9,14849,United Kingdom,False,2010-12-01 12:22:00,12,Wednesday,False,0.298,Normal
536460,84849B,FAIRY SOAP SOAP HOLDER,12,1.69,20.28,14849,United Kingdom,False,2010-12-01 12:22:00,12,Wednesday,False,0.285,Normal
536460,84879,ASSORTED COLOUR BIRD ORNAMENT,24,1.69,40.56,14849,United Kingdom,False,2010-12-01 12:22:00,12,Wednesday,False,0.354,Normal
536460,84992,72 SWEETHEART FAIRY CAKE CASES,24,0.55,13.200000000000001,14849,United Kingdom,False,2010-12-01 12:22:00,12,Wednesday,False,0.39,Normal
536460,21586,KINGS CHOICE GIANT TUBE MATCHES,12,2.55,30.599999999999998,14849,United Kingdom,False,2010-12-01 12:22:00,12,Wednesday,False,0.276,Normal
536460,22670,FRENCH WC SIGN BLUE METAL,12,1.25,15.0,14849,United Kingdom,False,2010-12-01 12:22:00,12,Wednesday,False,0.278,Normal
536460,22926,IVORY GIANT GARDEN THERMOMETER,4,5.95,23.8,14849,United Kingdom,False,2010-12-01 12:22:00,12,Wednesday,False,0.291,Normal
536464,85231B,CINAMMON SET OF 9 T-LIGHTS,3,0.85,2.55,17968,United Kingdom,False,2010-12-01 12:23:00,12,Wednesday,False,0.267,Normal
536464,21815,STAR  T-LIGHT HOLDER ,1,1.45,1.45,17968,United Kingdom,False,2010-12-01 12:23:00,12,Wednesday,False,0.284,Normal
536464,22759,SET OF 3 NOTEBOOKS IN PARCEL,1,1.65,1.65,17968,United Kingdom,False,2010-12-01 12:23:00,12,Wednesday,False,0.284,Normal
536464,21122,SET/10 PINK POLKADOT PARTY CANDLES,1,1.25,1.25,17968,United Kingdom,False,2010-12-01 12:23:00,12,Wednesday,False,0.283,Normal
536464,21121,SET/10 RED POLKADOT PARTY CANDLES,1,1.25,1.25,17968,United Kingdom,False,2010-12-01 12:23:00,12,Wednesday,False,0.283,Normal
536464,22585,PACK OF 6 BIRDY GIFT TAGS,3,1.25,3.75,17968,United Kingdom,False,2010-12-01 12:23:00,12,Wednesday,False,0.265,Normal
536464,21212,PACK OF 72 RETROSPOT CAKE CASES,2,0.55,1.1,17968,United Kingdom,False,2010-12-01 12:23:00,12,Wednesday,False,0.308,Normal
536464,21212,PACK OF 72 RETROSPOT CAKE CASES,1,0.55,0.55,17968,United Kingdom,False,2010-12-01 12:23:00,12,Wednesday,False,0.334,Normal
536464,22945,CHRISTMAS METAL TAGS ASSORTED ,6,0.85,5.1,17968,United Kingdom,False,2010-12-01 12:23:00,12,Wednesday,False,0.27,Normal
536464,22866,HAND WARMER SCOTTY DOG DESIGN,3,2.1,6.300000000000001,17968,United Kingdom,False,2010-12-01 12:23:00,12,Wednesday,False,0.269,Normal
536464,22558,CLOTHES PEGS RETROSPOT PACK 24 ,2,1.49,2.98,17968,United Kingdom,False,2010-12-01 12:23:00,12,Wednesday,False,0.266,Normal
536464,85231G,ORANGE SCENTED SET/9 T-LIGHTS,5,0.85,4.25,17968,United Kingdom,False,2010-12-01 12:23:00,12,Wednesday,False,0.266,Normal
536464,22866,HAND WARMER SCOTTY DOG DESIGN,1,2.1,2.1,17968,United Kingdom,False,2010-12-01 12:23:00,12,Wednesday,False,0.28,Normal
